Produto,Quantidade (L.),ano,Categoria
Tinto,83300735.0,1970,VINHO DE MESA
Rosado,107681.0,1970,VINHO DE MESA
Branco,14919190.0,1970,VINHO DE MESA
Tinto,435354.0,1970,VINHO FINO DE MESA
Rosado,183234.0,1970,VINHO FINO DE MESA
Branco,3812041.0,1970,VINHO FINO DE MESA
VINHO FRIZANTE,466480.0,1970,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1970,VINHO ORGÂNICO
Tinto,4730346.0,1970,VINHO ESPECIAL
Rosado,1229564.0,1970,VINHO ESPECIAL
Branco,1365879.0,1970,VINHO ESPECIAL
Espumante Moscatel,0.0,1970,ESPUMANTES
Espumante,0.0,1970,ESPUMANTES
Espumante Orgânico,0.0,1970,ESPUMANTES
Suco Natural Integral,0.0,1970,SUCO DE UVAS
Suco Adoçado,0.0,1970,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1970,SUCO DE UVAS
Suco Orgânico,0.0,1970,SUCO DE UVAS
Outros sucos de uvas,0.0,1970,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,0.0,1970,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),1192987.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),9388296.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Coquetel com vinho,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,533987.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,346403.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,178350.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,44971.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,401030.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,1359297.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinho base para espumantes,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinho composto,3386173.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinho licoroso,3013056.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinho leve,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Vinho gaseificado,0.0,1970,OUTROS PRODUTOS COMERCIALIZADOS
Tinto,98522869.0,1971,VINHO DE MESA
Rosado,542274.0,1971,VINHO DE MESA
Branco,15333888.0,1971,VINHO DE MESA
Tinto,428927.0,1971,VINHO FINO DE MESA
Rosado,227299.0,1971,VINHO FINO DE MESA
Branco,4184143.0,1971,VINHO FINO DE MESA
VINHO FRIZANTE,358116.0,1971,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1971,VINHO ORGÂNICO
Tinto,4802828.0,1971,VINHO ESPECIAL
Rosado,1662821.0,1971,VINHO ESPECIAL
Branco,1359282.0,1971,VINHO ESPECIAL
Espumante Moscatel,0.0,1971,ESPUMANTES
Espumante,0.0,1971,ESPUMANTES
Espumante Orgânico,0.0,1971,ESPUMANTES
Suco Natural Integral,0.0,1971,SUCO DE UVAS
Suco Adoçado,0.0,1971,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1971,SUCO DE UVAS
Suco Orgânico,0.0,1971,SUCO DE UVAS
Outros sucos de uvas,0.0,1971,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,0.0,1971,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),1111014.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),9893167.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Coquetel com vinho,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,1023876.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,432991.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,81510.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,20502.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,410850.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,1256068.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinho base para espumantes,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinho composto,3645774.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinho licoroso,2475632.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinho leve,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Vinho gaseificado,0.0,1971,OUTROS PRODUTOS COMERCIALIZADOS
Tinto,101167932.0,1972,VINHO DE MESA
Rosado,7770851.0,1972,VINHO DE MESA
Branco,9438584.0,1972,VINHO DE MESA
Tinto,624499.0,1972,VINHO FINO DE MESA
Rosado,403664.0,1972,VINHO FINO DE MESA
Branco,4573928.0,1972,VINHO FINO DE MESA
VINHO FRIZANTE,356340.0,1972,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1972,VINHO ORGÂNICO
Tinto,4347706.0,1972,VINHO ESPECIAL
Rosado,1901801.0,1972,VINHO ESPECIAL
Branco,2488098.0,1972,VINHO ESPECIAL
Espumante Moscatel,0.0,1972,ESPUMANTES
Espumante,0.0,1972,ESPUMANTES
Espumante Orgânico,0.0,1972,ESPUMANTES
Suco Natural Integral,0.0,1972,SUCO DE UVAS
Suco Adoçado,0.0,1972,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1972,SUCO DE UVAS
Suco Orgânico,0.0,1972,SUCO DE UVAS
Outros sucos de uvas,0.0,1972,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,59044.0,1972,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),1059696.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),11876098.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Coquetel com vinho,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,1573023.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,670626.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,133865.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,447600.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,1524908.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinho base para espumantes,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinho composto,3921573.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinho licoroso,2407816.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinho leve,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Vinho gaseificado,0.0,1972,OUTROS PRODUTOS COMERCIALIZADOS
Tinto,98196747.0,1973,VINHO DE MESA
Rosado,8425617.0,1973,VINHO DE MESA
Branco,9995546.0,1973,VINHO DE MESA
Tinto,783508.0,1973,VINHO FINO DE MESA
Rosado,1377333.0,1973,VINHO FINO DE MESA
Branco,5041989.0,1973,VINHO FINO DE MESA
VINHO FRIZANTE,327865.0,1973,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1973,VINHO ORGÂNICO
Tinto,5017487.0,1973,VINHO ESPECIAL
Rosado,2062011.0,1973,VINHO ESPECIAL
Branco,2614455.0,1973,VINHO ESPECIAL
Espumante Moscatel,0.0,1973,ESPUMANTES
Espumante,0.0,1973,ESPUMANTES
Espumante Orgânico,0.0,1973,ESPUMANTES
Suco Natural Integral,0.0,1973,SUCO DE UVAS
Suco Adoçado,0.0,1973,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1973,SUCO DE UVAS
Suco Orgânico,0.0,1973,SUCO DE UVAS
Outros sucos de uvas,0.0,1973,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,1951966.0,1973,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),997624.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),12156057.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
